session_id,timestamp,user_message,bot_message,user_length,bot_length,user_words,bot_words,reference_answer,retrieval_score,source_file,bleu_score,rouge_l_score,levenshtein_similarity,bert_score_f1
4,2025-11-06 09:55:49.529249,ขอตารางเเนะนำโปรโมชั่นเน้ตบ้านหน่อย,"ขออภัยครับ จากข้อมูลที่ค้นหาได้ในตอนนี้ เป็นรายละเอียดเกี่ยวกับเงื่อนไขหลักและระยะเวลาของโปรโมชั่นต่างๆ มากกว่าจะเป็นตารางที่ระบุชื่อโปรโมชั่น ความเร็ว และราคาที่ชัดเจนครับ

ข้อมูลที่มีอยู่ส่วนใหญ่จะกล่าวถึง:
*   **เงื่อนไขหลัก New NT SHE Plus Series:**
    *   ระยะเวลาส่งเสริมการขาย: 15 มีนาคม 2568 ถึง 15 กันยายน 2568
    *   ราคาที่แสดงยังไม่รวมภาษีมูลค่าเพิ่ม (VAT)
    *   แพ็กเกจมีระยะสัญญา 12 รอบบิล
    *   แพ็กเกจระยะสัญญา 24 หรือ 36 รอบบิล จะได้รับสิทธิ์ยืมฟรี Mesh WiFi Router
    *   รายละเอียดอัตราค่าบริการ IP Phone และซิม my by NT (ค่าโทร/SMS ส่วนเกิน)
    *   เงื่อนไขการคืนอุปกรณ์เมื่อยกเลิกบริการ

*   **อีกรายการส่งเสริมการขาย:**
    *   ระยะเวลาส่งเสริมการขาย: 1 กรกฎาคม 2568 ถึง 31 ธันวาคม 2568
    *   ราคาที่แสดงยังไม่รวมภาษีมูลค่าเพิ่ม (VAT)
    *   ระยะสัญญา 12 หรือ 24 รอบบิล
    *   รายละเอียดแพ็กเกจหลักของซิม my 700 MHz ""my Super คุ้ม"" และบริการ IP Phone

เนื่องจากข้อมูลที่ได้มาไม่ได้จัดรูปแบบเป็นตารางชื่อโปรโมชั่น ความเร็ว และราคาโดยตรง ผมจึงยังไม่สามารถสร้างตารางแนะนำได้ในตอนนี้ครับ

หากคุณมีชื่อโปรโมชั่นเน็ตบ้านของ NT ที่สนใจเป็นพิเศษ หรืออยากให้ผมค้นหาโปรโมชั่นสำหรับ ""ลูกค้าใหม่"" หรือ ""โปรโมชั่นล่าสุด"" โดยเฉพาะ แจ้งให้ผมทราบได้เลยนะครับ ผมยินดีจะหาข้อมูลเพิ่มเติมให้ครับ",35,1210,1,97,6. ลูกค้า NT Mobile ระบบเติมเงินใช้บริการชุด Topping อยู่แล้ว สามารถสมัครใช้ ชุด Big Mouth Topping เพิ่มได้ 7. อัตราค่าบริการรวมภาษีมูลค่าเพิ่ม nan nan nan,0.1870367522575462,[เน็ตมือถือ] โปรเสริม Big Mouth Topping.xlsx,0.0014758140748286537,0.04166666666666667,0.07024793388429751,0.6623603105545044
8,2025-11-06 10:52:40.400245,แนะนำแพ็กเกจอินเทอร์เน็ตหน่อย,"ผมยินดีช่วยแนะนำครับ! ไม่ทราบว่าคุณสนใจเป็น:
🏠 เน็ตบ้าน/ไฟเบอร์ (สำหรับใช้ที่บ้านหรือออฟฟิศ) หรือ
📱 เน็ตมือถือ (สำหรับสมาร์ทโฟน) ครับ?",29,134,1,10,อินเทอร์เน็ต 6 GB,0.3879295428869513,[เน็ตมือถือ] TOTMOBILE START UP (โปรโมชั่นรายเดือน).xlsx,0.0,0.0,0.08955223880597019,0.6265770792961121
8,2025-11-06 10:52:52.564762,เน็ตบ้าน,"NT มีแพ็กเกจอินเทอร์เน็ตบ้าน/ไฟเบอร์ให้เลือกหลากหลายครับ ผมขอแนะนำโปรโมชั่นที่น่าสนใจดังนี้ครับ

**โปรโมชั่นเด่น: NT Mesh Gigabit Fiber V.2 ""เน็ตแรงบ้านฉัน ชัดทั่วทั้งบ้าน""**

สำหรับลูกค้าที่ต้องการความเร็วสูงในราคาที่คุ้มค่า:
*   **ความเร็ว:** 1 Gbps (1000 Mbps)
*   **ราคาเริ่มต้น:** **590 บาท/เดือน**
*   **รายละเอียดเพิ่มเติม:** สมัครวันนี้รับสิทธิ์ **WiFi6 Router หรือ Mesh WiFi6 Router ฟรี!**

นอกจากนี้ NT ยังมีแพ็กเกจอินเทอร์เน็ตบ้านที่มีบริการเสริมอื่นๆ เพื่อตอบสนองความต้องการที่หลากหลายของคุณ:

| ความเร็ว (DL/UL) | ราคา (24 เดือน/ต่อเดือน) | ราคา (36 เดือน/ต่อเดือน) | บริการเสริมในแพ็กเกจ (เลือกได้ 1 รายการ) |
| :--- | :--- | :--- | :--- |
| **1000/500 Mbps** | 3090 บาท | 2890 บาท | ไม่มีบริการเสริม |
| **1000/500 Mbps** | 3590 บาท | 3390 บาท | 1. IP Phone 1 เลขหมาย + ซิม my 700 MHz 1 ซิม หรือ<br>2. IP Phone 2 เลขหมาย หรือ<br>3. ซิม my 700 MHz 2 ซิม |
| **1000/1000 Mbps** | 3590 บาท | 3390 บาท | ไม่มีบริการเสริม |
| **1000/1000 Mbps** | 3990 บาท | 3790 บาท | 1. IP Phone 1 เลขหมาย + ซิม my 700 MHz 1 ซิม หรือ<br>2. IP Phone 2 เลขหมาย หรือ<br>3. ซิม my 700 MHz 2 ซิม |

**บริการเสริมและสิทธิพิเศษเพิ่มเติมสำหรับแพ็กเกจข้างต้น:**
*   **IP Phone:** โทรเบอร์บ้าน NT ทั่วไทย ฟรี 24 ชั่วโมง
*   **ซิม my 700 MHz:**
    *   อินเทอร์เน็ต 15 Mbps จำกัด 20 GB (หลังจากนั้น FUP 384 Kbps)
    *   โทรนอกโครงข่าย และมือถือทุกค่าย ฟรี 1,200 บาท/เลขหมาย/รอบบิล
*   **Mesh WiFi6 Router:** รับสิทธิ์ยืมฟรี 2 ตัว (สำหรับบางแพ็กเกจ)
*   **ทีมดูแลการใช้งาน:** แก้ปัญหาเบื้องต้นภายใน 12 ชั่วโมง ตลอดอายุการใช้งาน

หากคุณสนใจแพ็กเกจไหนเป็นพิเศษ หรือต้องการข้อมูลเพิ่มเติม สามารถสอบถามได้เลยครับ",8,1592,1,205,*โทรฟรีเฉพาะเบอร์บ้าน NT เท่านั้น nan nan nan nan nan,0.3570657251084931,[เน็ตมือถือ] NT Welcome (โปรโมชั่นรายเดือน).xlsx,0.0006618952972911056,0.018518518518518517,0.022613065326633208,0.5954157710075378
9,2025-11-24 04:59:55.981151,โปรโมชั่นล่าสุดมีอะไรบ้าง,"ผมยินดีช่วยแนะนำครับ! ไม่ทราบว่าคุณสนใจเป็น:
🏠 เน็ตบ้าน/ไฟเบอร์ (สำหรับใช้ที่บ้านหรือออฟฟิศ) หรือ
📱 เน็ตมือถือ (สำหรับสมาร์ทโฟน) ครับ?",25,134,1,10,โปรโมชั่น ค่าบริการ (บาท/เดือน) Internet (GB) FUP (Mbps) เพิ่มเติม,0.2941525741746252,[เน็ตมือถือ] NT Corporate Ultra Net (โปรโมชั่นรายเดือน).xlsx,0.01626739260030573,0.0,0.13432835820895528,0.6353970170021057
9,2025-11-24 05:00:18.267329,เเนะนำโปรเน็ตบ้านหน่อย,"NT มีโปรโมชั่น **NT Mesh Gigabit Fiber V.2** สำหรับเน็ตบ้านที่น่าสนใจครับ!

โปรโมชั่นนี้มีทั้งแพ็กเกจ Basic สัญญา 12 เดือน และแพ็กเกจ Premium สัญญา 24 เดือน โดยมีรายละเอียดดังนี้ครับ (สมัครได้ตั้งแต่วันนี้ – 30 พ.ย. 68)

### **NT Mesh Gigabit Fiber V.2 (แพ็กเกจ Basic สัญญา 12 เดือน)**

| ชื่อโปรโมชั่น | ความเร็ว (DL/UL) | ราคา (ต่อเดือน) | รายละเอียดเพิ่มเติม |
| :--- | :--- | :--- | :--- |
| NT Mesh Gigabit Fiber V.2 | 1000/300 Mbps | 590 บาท | รับสิทธิ์ยืมฟรี WiFi6 Router 2 ตัว |
| NT Mesh Gigabit Fiber V.2 | 1000/500 Mbps | 690 บาท | เลือกรับ IP Phone หรือ NT NET PLAY |
| NT Mesh Gigabit Fiber V.2 | 1000/1000 Mbps | 790 บาท | เลือกรับ IP Phone หรือ NT NET PLAY |

**รายละเอียดเพิ่มเติมสำหรับแพ็กเกจ Basic:**
*   **สำหรับความเร็ว 1000/500 Mbps และ 1000/1000 Mbps:**
    *   **IP Phone:** รับ 1 เลขหมาย, โทรประจำที่โครงข่าย NT ทั่วไทยฟรี 24 ชั่วโมง, โทรนอกโครงข่ายและมือถือทุกโครงข่ายฟรี 420 บาท/เดือน (สำหรับ 1000/500 Mbps) หรือ 700 บาท/เดือน (สำหรับ 1000/1000 Mbps)
    *   **NT NET PLAY:** เลือกรับกล่อง IPTV หรือ C nema

### **NT Mesh Gigabit Fiber V.2 (แพ็กเกจ Premium สัญญา 24 เดือน)**

| ชื่อโปรโมชั่น | ความเร็ว (DL/UL) | ราคา (ต่อเดือน) | รายละเอียดเพิ่มเติม |
| :--- | :--- | :--- | :--- |
| NT Mesh Gigabit Fiber V.2 | 1000/300 Mbps | 890 บาท | รับสิทธิ์ยืมฟรี Mesh WiFi6 Router 2 ตัว |
| NT Mesh Gigabit Fiber V.2 | 1000/500 Mbps | 990 บาท | เลือกรับ IP Phone หรือ NT NET PLAY |
| NT Mesh Gigabit Fiber V.2 | 1000/1000 Mbps | 1090 บาท | เลือกรับ IP Phone หรือ NT NET PLAY |

**รายละเอียดเพิ่มเติมสำหรับแพ็กเกจ Premium:**
*   **สำหรับความเร็ว 1000/500 Mbps และ 1000/1000 Mbps:**
    *   **IP Phone:** รับ 1 เลขหมาย, โทรประจำที่โครงข่าย NT ทั่วไทยฟรี 24 ชั่วโมง, โทรนอกโครงข่ายและมือถือทุกโครงข่ายฟรี 700 บาท/เดือน
    *   **NT NET PLAY:** เลือกรับกล่อง IPTV หรือ C nema

*เงื่อนไขเป็นไปตามที่บริษัทกำหนด*

โปรโมชั่นนี้มอบความเร็วสูงถึง 1 Gbps พร้อมอุปกรณ์ WiFi6 Router หรือ Mesh WiFi6 Router และยังสามารถเลือกบริการเสริม NT NET PLAY หรือ IP Phone ได้อีกด้วยครับ",22,1981,1,301,6. ลูกค้า NT Mobile ระบบเติมเงินใช้บริการชุด Topping อยู่แล้ว สามารถสมัครใช้ ชุด Big Mouth Topping เพิ่มได้ 7. อัตราค่าบริการรวมภาษีมูลค่าเพิ่ม nan nan nan,0.1870367522575462,[เน็ตมือถือ] โปรเสริม Big Mouth Topping.xlsx,0.000532012802993718,0.010638297872340425,0.04896516910651183,0.6275737285614014
9,2025-11-24 05:01:19.801867,สำหรับแพ็กเกจ 1000/500 Mbps หรือ 1000/1000 Mbps จะได้รับเราเตอร์แบบไหนครับ/คะ และมีค่าใช้จ่ายเพิ่มเติมไหม?,"สำหรับแพ็กเกจ **NT Mesh Gigabit Fiber V.2** ทั้ง 1000/500 Mbps และ 1000/1000 Mbps คุณจะได้รับ **WiFi6 Router หรือ Mesh WiFi6 Router** ครับ

*   **ค่าใช้จ่ายเพิ่มเติม:** จะไม่มีค่าใช้จ่ายเพิ่มเติมสำหรับเราเตอร์ครับ เนื่องจากเป็นสิทธิ์ **""ยืมฟรี""** ตามเงื่อนไขของโปรโมชั่นครับ

โปรโมชั่นระบุว่า ""สมัครวันนี้ รับสิทธิ์ยืมฟรี WiFi6 Router หรือ Mesh WiFi6 Router"" ซึ่งหมายความว่าคุณจะได้รับอุปกรณ์เราเตอร์ที่ทันสมัยสำหรับการใช้งานโดยไม่มีค่าใช้จ่ายเพิ่มเติมครับ",106,456,8,36,1000/500 Mbps 1000/1000 Mbps บริการเสริมในแพ็กเกจ (เลือกได้ 1 รายการ) nan nan nan,0.5169669461442654,[เน็ตบ้าน] New NT SME Plus Fixed IP.xlsx,0.009584460320418755,0.37499999999999994,0.11622807017543857,0.6685466170310974
14,2026-01-12 11:34:52.878743,แนะนำแพ็กเกจอินเทอร์เน็ตหน่อย,"ผมยินดีช่วยแนะนำครับ! ไม่ทราบว่าคุณสนใจเป็น:
🏠 เน็ตบ้าน/ไฟเบอร์ (สำหรับใช้ที่บ้านหรือออฟฟิศ) หรือ
📱 เน็ตมือถือ (สำหรับสมาร์ทโฟน) ครับ?",29,134,1,10,อินเทอร์เน็ต 6 GB,0.3879295428869513,[เน็ตมือถือ] TOTMOBILE START UP (โปรโมชั่นรายเดือน).xlsx,0.0,0.0,0.08955223880597019,0.6265770792961121
14,2026-01-12 11:35:02.668726,เน็ตบ้าน,"NT มีแพ็กเกจอินเทอร์เน็ตบ้าน **NT Mesh Gigabit Fiber V.2** ที่น่าสนใจดังนี้ครับ

**โปรโมชั่นหลัก:**

| ชื่อโปรโมชั่น | ความเร็ว (DL/UL) | ราคา (ต่อเดือน) | รายละเอียดเพิ่มเติม |
| :--- | :--- | :--- | :--- |
| **NT Mesh Gigabit Fiber V.2** | 1 Gbps | **เริ่มต้น 590 บาท** | สมัครวันนี้ รับสิทธิ์ยืม **WiFi6 Router หรือ Mesh WiFi6 Router ฟรี!** |

---

**แพ็กเกจ NT Mesh Gigabit Fiber V.2 แบบมี/ไม่มีบริการเสริม (สำหรับ 24 และ 36 รอบบิล):**

| ชื่อโปรโมชั่น | ความเร็ว (DL/UL) | ราคา (ต่อเดือน) | ระยะเวลาสัญญา | รายละเอียดเพิ่มเติม |
| :--- | :--- | :--- | :--- | :--- |
| **NT Mesh Gigabit Fiber V.2 (ไม่มีบริการเสริม)** | 1000/500 Mbps | **3090 บาท** | 24 รอบบิล | - |
| **NT Mesh Gigabit Fiber V.2 (ไม่มีบริการเสริม)** | 1000/500 Mbps | **2890 บาท** | 36 รอบบิล | - |
| **NT Mesh Gigabit Fiber V.2 (ไม่มีบริการเสริม)** | 1000/1000 Mbps | **3590 บาท** | 24 รอบบิล | - |
| **NT Mesh Gigabit Fiber V.2 (ไม่มีบริการเสริม)** | 1000/1000 Mbps | **3390 บาท** | 36 รอบบิล | - |
| **NT Mesh Gigabit Fiber V.2 (พร้อมบริการเสริม)** | 1000/500 Mbps | **3590 บาท** | 24 รอบบิล | **เลือกได้ 1 อย่าง:** <br> - IP Phone 1 เลขหมาย + ซิม my 700 MHz 1 ซิม <br> - IP Phone 2 เลขหมาย <br> - ซิม my 700 MHz 2 ซิม <br><br> **สิทธิ์ฟรีในแพ็ก:** <br> - IP Phone โทรเบอร์บ้าน NT ทั่วไทย ฟรี 24 ชม. <br> - โทรนอกโครงข่ายและมือถือทุกค่าย ฟรี 1,200 บ./เลขหมาย/รอบบิล <br> - ซิม my 700 MHz อินเทอร์เน็ต 15 Mbps (FUP 384 Kbps) 20 GB <br> - ทีมดูแลการใช้งานแก้ปัญหาเบื้องต้นภายใน 12 ชม. ตลอดอายุการใช้งาน <br> - รับสิทธิ์ยืม **Mesh WiFi6 Router 2 ตัว ฟรี!** |
| **NT Mesh Gigabit Fiber V.2 (พร้อมบริการเสริม)** | 1000/500 Mbps | **3390 บาท** | 36 รอบบิล | **เลือกได้ 1 อย่าง:** <br> - IP Phone 1 เลขหมาย + ซิม my 700 MHz 1 ซิม <br> - IP Phone 2 เลขหมาย <br> - ซิม my 700 MHz 2 ซิม <br><br> **สิทธิ์ฟรีในแพ็ก:** <br> - IP Phone โทรเบอร์บ้าน NT ทั่วไทย ฟรี 24 ชม. <br> - โทรนอกโครงข่ายและมือถือทุกค่าย ฟรี 1,200 บ./เลขหมาย/รอบบิล <br> - ซิม my 700 MHz อินเทอร์เน็ต 15 Mbps (FUP 384 Kbps) 20 GB <br> - ทีมดูแลการใช้งานแก้ปัญหาเบื้องต้นภายใน 12 ชม. ตลอดอายุการใช้งาน <br> - รับสิทธิ์ยืม **Mesh WiFi6 Router 2 ตัว ฟรี!** |
| **NT Mesh Gigabit Fiber V.2 (พร้อมบริการเสริม)** | 1000/1000 Mbps | **3990 บาท** | 24 รอบบิล | **เลือกได้ 1 อย่าง:** <br> - IP Phone 1 เลขหมาย + ซิม my 700 MHz 1 ซิม <br> - IP Phone 2 เลขหมาย <br> - ซิม my 700 MHz 2 ซิม <br><br> **สิทธิ์ฟรีในแพ็ก:** <br> - IP Phone โทรเบอร์บ้าน NT ทั่วไทย ฟรี 24 ชม. <br> - โทรนอกโครงข่ายและมือถือทุกค่าย ฟรี 1,200 บ./เลขหมาย/รอบบิล <br> - ซิม my 700 MHz อินเทอร์เน็ต 15 Mbps (FUP 384 Kbps) 20 GB <br> - ทีมดูแลการใช้งานแก้ปัญหาเบื้องต้นภายใน 12 ชม. ตลอดอายุการใช้งาน <br> - รับสิทธิ์ยืม **Mesh WiFi6 Router 2 ตัว ฟรี!** |
| **NT Mesh Gigabit Fiber V.2 (พร้อมบริการเสริม)** | 1000/1000 Mbps | **3790 บาท** | 36 รอบบิล | **เลือกได้ 1 อย่าง:** <br> - IP Phone 1 เลขหมาย + ซิม my 700 MHz 1 ซิม <br> - IP Phone 2 เลขหมาย <br> - ซิม my 700 MHz 2 ซิม <br><br> **สิทธิ์ฟรีในแพ็ก:** <br> - IP Phone โทรเบอร์บ้าน NT ทั่วไทย ฟรี 24 ชม. <br> - โทรนอกโครงข่ายและมือถือทุกค่าย ฟรี 1,200 บ./เลขหมาย/รอบบิล <br> - ซิม my 700 MHz อินเทอร์เน็ต 15 Mbps (FUP 384 Kbps) 20 GB <br> - ทีมดูแลการใช้งานแก้ปัญหาเบื้องต้นภายใน 12 ชม. ตลอดอายุการใช้งาน <br> - รับสิทธิ์ยืม **Mesh WiFi6 Router 2 ตัว ฟรี!** |",8,3206,1,546,*โทรฟรีเฉพาะเบอร์บ้าน NT เท่านั้น nan nan nan nan nan,0.3570657251084931,[เน็ตมือถือ] NT Welcome (โปรโมชั่นรายเดือน).xlsx,0.0002516055202658221,0.006430868167202573,0.014348097317529618,0.5596548914909363
15,2026-01-13 09:18:51.201836,มีโปรเน็ตบ้านราคาถูกไม่เกิน 500 บาทไหม,"ขออภัยครับ จากข้อมูลโปรโมชั่นอินเทอร์เน็ตบ้านของ NT ในขณะนี้ ยังไม่มีแพ็กเกจที่ราคาไม่เกิน 500 บาทครับ

ราคาแพ็กเกจที่แสดงอยู่จะเริ่มต้นที่ 790 บาทต่อเดือน สำหรับความเร็ว 1000/500 Mbps ครับ",38,189,3,14,(Drop Optic ไม่เกิน 500 เมตร/จุด และสายภายในไม่เกิน 20 เมตร/จุด) (เฉพาะพื้นที่ที่พร้อมให้บริการ) nan nan nan nan nan,0.4246658301331855,[เน็ตบ้าน] New NT SME Plus Series.xlsx,0.010733825545492848,0.13333333333333333,0.18518518518518523,0.6390351057052612
15,2026-01-13 09:19:12.101210,คอนโดขนาดเล็กควรใช้เน็ตบ้านความเร็วเท่าไหร่,"ขออภัย, เกิดข้อผิดพลาด: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash
Please retry in 27.324090702s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 5
}
, retry_delay {
  seconds: 27
}
]
Traceback (most recent call last):
  File ""d:\NT_INTERN\Frontend_promo_googleai\routers\tool_chat.py"", line 365, in process_and_stream_response
    response = await asyncio.to_thread(chat.send_message, req.question)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\USER\AppData\Local\Programs\Python\Python311\Lib\asyncio\threads.py"", line 25, in to_thread
    return await loop.run_in_executor(None, func_call)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\USER\AppData\Local\Programs\Python\Python311\Lib\concurrent\futures\thread.py"", line 58, in run
    result = self.fn(*self.args, **self.kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\NT_INTERN\Frontend_promo_googleai\.venv\Lib\site-packages\google\generativeai\generative_models.py"", line 578, in send_message
    response = self.model.generate_content(
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\NT_INTERN\Frontend_promo_googleai\.venv\Lib\site-packages\google\generativeai\generative_models.py"", line 331, in generate_content
    response = self._client.generate_content(
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\NT_INTERN\Frontend_promo_googleai\.venv\Lib\site-packages\google\ai\generativelanguage_v1beta\services\generative_service\client.py"", line 835, in generate_content
    response = rpc(
               ^^^^
  File ""D:\NT_INTERN\Frontend_promo_googleai\.venv\Lib\site-packages\google\api_core\gapic_v1\method.py"", line 131, in __call__
    return wrapped_func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\NT_INTERN\Frontend_promo_googleai\.venv\Lib\site-packages\google\api_core\retry\retry_unary.py"", line 294, in retry_wrapped_func
    return retry_target(
           ^^^^^^^^^^^^^
  File ""D:\NT_INTERN\Frontend_promo_googleai\.venv\Lib\site-packages\google\api_core\retry\retry_unary.py"", line 156, in retry_target
    next_sleep = _retry_error_helper(
                 ^^^^^^^^^^^^^^^^^^^^
  File ""D:\NT_INTERN\Frontend_promo_googleai\.venv\Lib\site-packages\google\api_core\retry\retry_base.py"", line 214, in _retry_error_helper
    raise final_exc from source_exc
  File ""D:\NT_INTERN\Frontend_promo_googleai\.venv\Lib\site-packages\google\api_core\retry\retry_unary.py"", line 147, in retry_target
    result = target()
             ^^^^^^^^
  File ""D:\NT_INTERN\Frontend_promo_googleai\.venv\Lib\site-packages\google\api_core\timeout.py"", line 130, in func_with_timeout
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File ""D:\NT_INTERN\Frontend_promo_googleai\.venv\Lib\site-packages\google\api_core\grpc_helpers.py"", line 77, in error_remapped_callable
    raise exceptions.from_grpc_error(exc) from exc
google.api_core.exceptions.ResourceExhausted: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash
Please retry in 27.324090702s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 5
}
, retry_delay {
  seconds: 27
}
]",43,4593,1,315,อินเทอร์เน็ต 6 GB,0.3790578609302651,[เน็ตมือถือ] TOTMOBILE START UP (โปรโมชั่นรายเดือน).xlsx,0.0,0.0,0.001524058349662516,0.4721809923648834
